"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"1461","0","[600,670)","[700,750)","[642,650)",350,"[1, Inf)","[228,347)","[299, Inf)",95,40,43
"1463","0","[670, Inf)","[700,750)","[550,642)",500,"[0.5,1)","[347, Inf)","[299, Inf)",75,70,43
"1468","0","[670, Inf)","[750,820)","[650, Inf)",250,"[0.5,1)","[-Inf,141)","[131,242)",68,50,43
"1469","0","[670, Inf)","[700,750)","[550,642)",300,"[0.5,1)","[141,228)","[131,242)",34,71,43
"1474","1","[670, Inf)","[750,820)","[-Inf,550)",450,"[0.5,1)","[228,347)","[299, Inf)",0,20,43
"1475","0","[670, Inf)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",51,35,43
"1478","0","[670, Inf)","[820, Inf)","[650, Inf)",475,"[0,0.5)","[-Inf,141)","[131,242)",127,35,43
"1479","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[141,228)","[131,242)",0,50,43
"1480","0","[670, Inf)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",0,25,43
"1486","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[299, Inf)",0,20,43
"1488","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,43
"1491","0","[670, Inf)","[820, Inf)","[650, Inf)",450,"[0,0.5)","[141,228)","[-Inf,131)",118,215,43
"1492","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,43
"1494","0","[670, Inf)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",17,50,43
"1496","0","[670, Inf)","[820, Inf)","[642,650)",350,"[0,0.5)","[141,228)","[131,242)",61,110,43
"1498","0","[670, Inf)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",80,30,43
"1501","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[-Inf,141)","[131,242)",222,6,43
"1504","0","[600,670)","[700,750)","[-Inf,550)",450,"[1, Inf)","[347, Inf)","[299, Inf)",55,40,43
"1505","0","[600,670)","[700,750)","[-Inf,550)",250,"[1, Inf)","[228,347)","[242,299)",31,50,43
"1506","1","[600,670)","[-Inf,700)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",13,25,43
"1510","0","[670, Inf)","[820, Inf)","[650, Inf)",600,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,12,43
"1511","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[-Inf,141)","[242,299)",468,350,43
"1518","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,20,42
"1519","0","[600,670)","[-Inf,700)","[-Inf,550)",300,"[0.5,1)","[347, Inf)","[242,299)",0,129,42
"1524","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[299, Inf)",42,30,42
"1528","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,6,42
"1529","0","[670, Inf)","[700,750)","[650, Inf)",550,"[0.5,1)","[347, Inf)","[299, Inf)",29,100,42
"1531","0","[670, Inf)","[820, Inf)","[-Inf,550)",350,"[0,0.5)","[141,228)","[131,242)",0,30,42
"1537","0","[670, Inf)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",10,25,42
"1538","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",7,25,42
"1542","0","[670, Inf)","[700,750)","[642,650)",550,"[0.5,1)","[347, Inf)","[299, Inf)",0,45,42
"1550","0","[600,670)","[700,750)","[-Inf,550)",350,"[1, Inf)","[228,347)","[299, Inf)",73,40,42
"1555","0","[670, Inf)","[700,750)","[650, Inf)",400,"[0.5,1)","[228,347)","[299, Inf)",141,100,42
"1556","0","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",0,40,42
"1559","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,42
"1561","0","[670, Inf)","[750,820)","[650, Inf)",350,"[0.5,1)","[228,347)","[242,299)",55,75,42
"1562","0","[600,670)","[700,750)","[642,650)",300,"[0.5,1)","[228,347)","[299, Inf)",45,20,42
"1564","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[242,299)",46,111,42
"1566","0","[670, Inf)","[750,820)","[650, Inf)",400,"[0.5,1)","[228,347)","[299, Inf)",163,100,42
"1567","0","[670, Inf)","[820, Inf)","[650, Inf)",625,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,42
"1568","0","[600,670)","[820, Inf)","[-Inf,550)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,19,42
"1569","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",255,299,42
"1570","0","[670, Inf)","[820, Inf)","[642,650)",550,"[0,0.5)","[347, Inf)","[-Inf,131)",0,470,42
"1577","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[242,299)",131,100,41
