DebtDimId,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Premier_Fees_Billed_During_C,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Quarterly_Fico_Score,Behavior_Score,Good_Customer_Score,Utility,Bad
4441398,98,350,342,333,0,20,20,20,0,0,6,6,0,688,652,721,0.952828571,0
4452726,101,500,411,373,0,20,20,50,0,0,6,7,0,722,687,781,0.74678,0
4482417,101,300,159,303,3,20,23,50,184,0,6,4,0,692,675,710,1.0084,0
4490817,101,600,579,601,1,25,26,35,37,0,6,14,0,692,664,707,1.001983333,0
4493032,96,250,227,234,0,20,20,20,17,0,6,4,0,556,642,727,0.93744,1
4498599,101,"1,000",822,798,0,24,24,200,155,0,6,15,0,619,700,713,0.79755,0
4524394,100,400,396,6,0,6,6,396,0,0,6,0,0,615,685,1000,0.015,0
4527743,100,350,322,303,0,20,20,30,0,0,6,5,0,672,673,747,0.866228571,0
4528640,100,400,233,343,0,20,20,30,128,0,6,6,0,682,686,758,0.858325,0
4529367,100,300,279,303,3,20,23,24,36,0,6,6,0,564,652,710,1.010866667,0
4531946,100,700,414,402,0,20,20,25,0,0,6,7,0,696,674,842,0.573628571,0
4533398,100,250,-88,-82,0,0,0,0,0,0,6,0,0,678,693,985,-0.328,0
4534683,100,400,12,-2,0,0,0,20,0,0,6,0,0,646,705,997,-0.005,0
4598224,100,450,429,412,0,20,20,65,31,0,10,8,0,628,683,736,0.915577778,0
4600457,90,350,212,297,0,20,20,25,100,0,6,4,0,627,667,785,0.848257143,0
4608753,99,500,477,476,0,25,25,25,10,0,6,8,0,555,662,719,0.95194,0
4652598,100,400,368,402,2,20,22,28,0,0,56,6,0,478,650,716,1.004925,0
4654246,99,350,69,20,0,20,20,69,14,0,6,0,0,717,653,867,0.057,1
4658933,100,450,129,174,0,25,25,75,111,0,6,3,0,608,699,917,0.387422222,0
4676603,99,300,242,204,0,25,25,50,47,0,6,4,45,660,698,730,0.6815,0
4683601,98,250,187,217,0,25,25,50,70,0,6,4,0,654,690,755,0.8682,0
4686881,99,300,94,296,0,25,25,25,216,0,6,4,0,522,667,712,0.985966667,0
4694947,83,250,185,174,0,20,20,20,0,0,6,3,0,578,678,705,0.6952,0
4696277,97,"1,100","1,085","1,070",0,33,33,50,4,0,6,26,0,584,670,697,0.973118182,0
4700779,99,400,397,386,0,25,25,25,0,0,6,8,0,652,654,714,0.965525,1
4704185,99,550,524,519,0,25,25,50,30,0,6,9,0,0,681,722,0.944290909,0
4727364,97,300,340,278,0,20,20,75,0,0,6,7,0,641,666,760,0.926733333,0
4748999,99,350,0,0,0,0,0,6,0,0,6,0,0,664,689,995,0,0
