DebtDimId,Months_On_Book,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Utility,Closed
4498599,101,155,0,0.79755,0
4524394,100,0,0,0.015,1
4527743,100,0,0,0.866228571,0
4528640,100,128,0,0.858325,0
4529367,100,36,0,1.010866667,0
4531946,100,0,0,0.573628571,0
4533398,100,0,0,-0.328,1
4534683,100,0,0,-0.005,0
4598224,100,31,0,0.915577778,0
4600457,90,100,0,0.848257143,0
4608753,99,10,0,0.95194,0
4652598,100,0,0,1.004925,0
4654246,99,14,0,0.057,0
4658933,100,111,0,0.387422222,0
4676603,99,47,0,0.6815,0
4683601,98,70,0,0.8682,0
4686881,99,216,0,0.985966667,0
4694947,83,0,0,0.6952,0
4696277,97,4,0,0.973118182,0
4700779,99,0,0,0.965525,0
4704185,99,30,0,0.944290909,0
4727364,97,0,0,0.926733333,0
4748999,99,0,0,0,0
4766127,99,3,0,0.971690909,0
4783551,99,0,0,0.188025,1
4784918,99,0,0,0.054857143,0
4786682,99,0,0,0.618145455,0
4787419,99,21,0,0.966273684,0
4789910,99,49,0,0.809057143,0
4799258,98,0,0,1.15156,0
4799967,99,-53,0,0.60815,0
4812672,99,30,0,1.01935,0
4831363,99,30,0,0.118366667,0
4834788,98,0,0,0.933925,0
4841553,88,0,0,0.024,0
4848759,98,0,0,0.048571429,0
4863053,84,0,0,0.18,0
4874738,98,0,0,0.943971429,0
4890195,98,0,0,0.839985185,1
4900106,98,159,0,0.078325,0
4905248,98,0,0,0.093575,0
4906997,98,130,0,0.918458824,0
4916253,98,0,0,0.472833333,0
4929389,98,0,0,0.738625,0
4953228,98,106,0,0.967925,0
4974445,98,0,0,0.466622222,0
4982521,98,13,0,0.34192,0
4985923,97,34,0,0.929885714,0
4992062,98,53,0,0.642946667,0
5007255,88,106,0,0.719533333,0
5017234,97,72,0,0.81832,0
5032641,97,263,0,0.704666667,0
5039837,97,0,0,0.923893333,0
5077759,97,0,0,0.974733333,0
5108236,97,0,0,0.792822222,0
5112826,97,49,0,0.532711111,0
5128906,97,0,0,0.849155556,0
5132145,97,45,0,0.005,0
5135000,97,116,0,0.661375,0
5135195,89,106,0,0.77236,0
5137823,96,0,0,0.515496296,0
5152001,95,0,0,-0.024,0
5167536,96,20,0,1.085085714,0
5170851,96,0,0,0.135,0
5208370,96,163,0,0.098654546,0
5226276,96,0,0,0.712622222,0
5228375,96,94,0,0.955311111,0
5229397,96,7,0,0.883176471,0
5232964,96,116,0,1.041266667,0
5244164,95,92,0,0.874485714,0
5254686,96,52,0,0.99968,0
5280627,83,0,0,0.812366667,0
5291401,96,18,0,0.983911111,0
5294375,96,0,0,0.990509091,0
5303736,83,36,0,0.99044,1
5317476,95,85,0,0.994728889,0
5317635,95,85,0,0.2376,0
5332467,95,26,0,0.949573333,0
5361188,95,147,0,0.5409,0
5376695,95,0,0,0.66086,0
5396628,95,44,0,0.83475,0
5402672,95,276,0,0.7356,0
5408639,95,0,0,0.718304,0
5409653,95,26,0,0.96836,0
5433729,95,0,0,0.01,0
5435452,95,0,0,0.0201,0
5440322,93,187,0,0.7628,0
5456938,95,44,0,0.745977778,0
5465359,95,4,0,0.507844444,0
5491971,94,40,0,0.63776,0
5500183,94,0,0,0.94,0
5510481,94,0,0,0.804517647,0
5531213,94,248,0,0.7217125,0
5537278,94,212,0,0.50312,0
5538550,94,0,0,0.024,0
5544812,94,0,0,0.988371429,0
5569791,94,0,0,0.648822222,0
5573102,94,0,0,0.96096,0
5594167,84,0,0,1.15296,0
5596328,94,112,0,0.984514286,0
5606440,93,99,0,0.436577778,0
5613321,94,8,0,0.041342857,0
5632493,93,0,0,1.025575,0
5633914,94,78,0,0.61152,0
5642807,93,336,0,1.1047,1
5643102,93,419,0,0.945911111,0
5648497,93,0,0,0.017285714,0
5656935,93,196,0,0.654381818,0
5658848,93,182,0,0.84384,0
5665543,93,0,0,0.591575,0
5665736,93,23,0,0.604114286,0
5669991,93,0,0,0.40628,1
5671697,93,57,0,0.786142857,0
5701647,92,46,0,0.495,0
5725026,93,-97,0,0.61888,0
5725440,93,0,0,0.889529412,0
5733353,93,0,0,0.848384615,0
5740711,91,0,0,0.87536,0
5753672,93,42,0,0.953885714,0
5782835,93,0,0,0.02396,0
5796090,93,79,0,0.86575,0
5810801,92,36,0,0.682266667,0
5813712,92,73,0,0.175216667,0
5824657,92,0,0,1.22805,1
5829808,92,0,0,0.02016,0
5841266,92,10,0,0.908575,0
5849612,92,8,0,0.507233333,0
5853371,92,0,0,0.427466667,0
5875659,92,0,0,1.135633333,0
5875946,92,1,0,0.896933333,0
5883137,92,210,0,0.37982,0
5883407,92,64,0,0.910166667,0
5894114,92,0,0,0.012,0
5894467,92,236,0,0.60375,0
5895066,92,0,0,0.603822222,1
5895776,92,423,0,0.3512,0
5897071,92,0,0,0.4069,0
5924373,92,12,0,0.149422222,0
5937076,92,0,0,0.783666667,0
5941094,92,0,0,0.884733333,0
5963467,92,0,0,0.924296774,0
5968722,91,0,0,0.84735,0
5982811,91,31,0,0.871693333,0
5987235,91,40,0,0.626733333,0
5995945,91,0,0,0.673375,0
6007359,91,0,0,0.778925,0
6028896,91,0,83,1.02096,0
6042382,91,0,0,0.87452,0
6069013,91,138,0,0.4114,0
6073619,91,3,0,1.03968,0
6077607,91,0,0,0.742955556,0
6084107,90,0,0,0.024,0
6101957,90,0,0,0.896866667,0
6111853,91,0,0,0.65188,0
6128196,90,40,0,1.04368,0
6135181,90,150,0,0.967544186,0
6139391,90,35,0,0.875766667,0
6187160,90,0,0,0.526075,0
6198817,90,0,0,0.601933333,0
6203867,90,49,0,0.22,0
6206381,90,0,0,0.877325,0
6209112,90,0,0,0.008888889,0
6251352,90,0,0,0,0
6265593,89,0,0,0.80932,0
6266554,89,0,0,0.015,0
6283251,89,100,0,0.902615385,0
6292301,89,0,0,0.984292683,0
6298160,89,126,0,0.293377778,0
6303137,89,0,0,0.4957,1
6310589,89,18,0,0.946854546,0
6330852,89,0,0,0.35364,0
6347978,89,0,0,0.017142857,0
6349130,89,0,0,0.97366,0
6359730,89,188,0,0.017257143,0
6365039,89,223,0,0.05822,1
6368090,88,0,0,0.397228571,0
6374173,88,28,0,0.13456,0
6396738,89,0,0,0.978428571,0
6397907,89,0,0,0.942075,0
6401478,89,11,0,-0.235076923,0
6413919,88,0,0,0.808511111,0
6419051,88,14,0,0.4986,0
6427277,85,0,0,0.9683,0
6430383,88,142,0,0.86555,0
6433017,88,0,0,0.020133333,0
6433425,88,74,0,0.787357143,0
6437936,88,0,0,0.02,0
6451881,88,37,0,0.6742,0
6465168,88,231,0,0.947,0
6470453,88,82,0,0.58504,0
6473926,88,0,0,0.904133333,0
6488594,88,0,0,0.797233333,0
6489958,88,116,0,0.92348,0
6494014,88,12,0,1.01688,0
6496644,88,0,0,0.85915,0
6510748,88,88,0,0.583228571,0
6513317,88,0,0,0.917225,0
6516524,88,248,0,0.554247059,0
6523613,88,136,0,0.97944,0
6536571,87,0,0,0.015,1
6540774,87,0,44,1.0509,0
6557549,87,0,0,0.35644,0
6563916,83,0,0,0.911633333,0
6565720,87,0,0,0.9863,0
6578466,87,0,0,0.093282353,0
6595995,87,209,0,0.894125,0
6618685,87,33,0,0.77152381,0
6625325,87,0,0,0.871566667,0
6665692,86,0,0,0.947742857,0
6666727,86,0,0,0.95008,0
6680129,86,18,0,0.721645714,0
6680287,86,0,0,0.965648,0
6682513,86,0,0,0.896069565,0
6692371,85,0,0,0.2793,0
6696642,86,0,0,0.872736,0
6706841,86,30,0,0.570228571,0
6728289,86,220,0,0.709986667,0
6736290,85,115,0,0.4,0
6750344,85,89,0,0.814,0
6751149,85,0,0,0.015,0
6760118,85,15,0,0.998811429,0
6764109,85,0,0,0.088333333,0
6771669,85,0,0,0.769142857,0
6778812,85,20,0,0.024,0
6784130,85,0,0,0.024,0
6787119,85,0,0,0.9846,0
6787788,85,0,0,0.95984,0
6840321,85,0,0,0.884042857,0
6840603,84,65,0,1.1532,0
6853871,84,65,0,1.01828,0
6856155,84,0,0,0.074285714,0
6867199,84,221,0,1.064175,0
6875612,84,0,0,0.799982609,0
6908336,84,0,0,0.89644,0
6916577,84,0,0,0.6448,0
6920291,84,0,0,0.850647619,0
6925983,83,24,0,0.9728,1
