"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"3410","0","[670, Inf)","[750,820)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",175,250,18
"3411","0","[600,670)","[-Inf,700)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,136,18
"3412","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,85,18
"3413","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[-Inf,141)","[131,242)",156,29,18
"3415","0","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",53,91,18
"3417","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,18
"3419","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,102,18
"3420","1","[600,670)","[-Inf,700)","[-Inf,550)",200,"[1, Inf)","[228,347)","[131,242)",189,225,18
"3423","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",22,90,18
"3426","0","[600,670)","[700,750)","[550,642)",300,"[1, Inf)","[228,347)","[299, Inf)",66,50,18
"3431","0","[600,670)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",21,7,18
"3432","1","[600,670)","[750,820)","[550,642)",250,"[0,0.5)","[141,228)","[-Inf,131)",0,50,18
"3435","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,52,18
"3436","0","[670, Inf)","[750,820)","[550,642)",325,"[0.5,1)","[228,347)","[131,242)",45,50,18
"3438","0","[600,670)","[750,820)","[-Inf,550)",350,"[0.5,1)","[228,347)","[242,299)",0,25,18
"3439","0","[600,670)","[700,750)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,18
"3443","0","[670, Inf)","[820, Inf)","[550,642)",500,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,109,18
"3444","0","[670, Inf)","[820, Inf)","[650, Inf)",600,"[0,0.5)","[141,228)","[131,242)",142,183,18
"3445","0","[670, Inf)","[700,750)","[642,650)",400,"[0.5,1)","[347, Inf)","[299, Inf)",32,60,18
"3446","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",29,50,18
"3448","0","[600,670)","[750,820)","[-Inf,550)",325,"[0.5,1)","[141,228)","[131,242)",41,50,18
"3450","0","[600,670)","[700,750)","[-Inf,550)",325,"[0.5,1)","[347, Inf)","[242,299)",0,118,18
"3451","0","[600,670)","[750,820)","[-Inf,550)",325,"[0.5,1)","[347, Inf)","[131,242)",0,121,18
"3452","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,25,18
"3453","0","[670, Inf)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[131,242)",46,100,18
"3454","1","[600,670)","[820, Inf)","[550,642)",325,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,150,18
"3456","0","[670, Inf)","[750,820)","[642,650)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,18
"3458","0","[670, Inf)","[700,750)","[642,650)",350,"[0.5,1)","[228,347)","[242,299)",41,40,18
"3459","0","[670, Inf)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",2,50,18
"3466","1","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",17,25,18
"3467","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",80,30,17
"3468","0","[600,670)","[-Inf,700)","[-Inf,550)",250,"[1, Inf)","[228,347)","[242,299)",15,36,17
"3469","0","[600,670)","[820, Inf)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",4,37,17
"3470","0","[670, Inf)","[750,820)","[650, Inf)",300,"[0,0.5)","[141,228)","[-Inf,131)",0,159,17
"3471","0","[600,670)","[700,750)","[642,650)",300,"[0.5,1)","[228,347)","[131,242)",0,150,17
"3473","0","[600,670)","[700,750)","[550,642)",450,"[1, Inf)","[347, Inf)","[299, Inf)",75,25,17
"3474","0","[670, Inf)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,50,17
"3475","0","[670, Inf)","[700,750)","[550,642)",375,"[0.5,1)","[228,347)","[299, Inf)",34,50,17
"3477","0","[600,670)","[700,750)","[650, Inf)",325,"[0.5,1)","[228,347)","[299, Inf)",18,25,17
"3478","0","[670, Inf)","[700,750)","[550,642)",350,"[0.5,1)","[141,228)","[242,299)",168,50,17
"3479","0","[670, Inf)","[700,750)","[650, Inf)",350,"[0.5,1)","[141,228)","[299, Inf)",143,35,17
"3481","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",20,30,17
